% # columns="iteration, evaluation, void, void, void, xmean", seed=799291, Sat Mar 22 10:12:56 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 -0.0004321347671652591 -0.06210326919126736 0.11480589944794034 0.06435465403143882 0.03296562735184774 0.02205951196696099 0.24626136877628405 -0.2600028319279419
2 20 0 0 0 0.1792135277732817 0.2900046989113005 0.14271949149023636 -0.17374256005230626 0.023372529626295803 -0.156039850790149 0.30930636999571554 -0.03745251776980073
3 30 0 0 0 0.0587596230130071 -0.22907765860193027 0.16598001057605472 -0.030036370092722003 0.22988971856730747 -0.31241303174962953 0.43160051032925617 0.2428560191773757
4 40 0 0 0 0.39302605644395205 -0.25514126631520423 0.19586782968501157 0.11041997391004098 0.1860249377296468 -0.20167131817025907 0.09368239696575527 0.2323444758217912
5 50 0 0 0 0.2300439613662375 -0.2089962212862414 0.3185341617397416 0.008218110335068012 0.3259575313111802 -0.2223675689533564 0.0836484982289598 0.3116771017469622
6 60 0 0 0 0.11381172984492048 -0.008550906052493347 0.24610184658899786 -0.028074002681277414 0.055757282221001854 -0.19779115247200807 -0.12057865499851855 0.01614201479506843
7 70 0 0 0 0.0767012096931423 -0.03457616956364193 0.02041018363260101 -0.033935857978552225 0.1289355816266507 -0.06428381624589566 0.06056299956167903 0.12572005541911196
8 80 0 0 0 0.1884152094539389 0.06796357209107268 -0.0026954884276381074 0.04802983250822098 0.11099801268874886 -0.08679855299074823 0.14787646836217258 -0.059714504076923816
9 90 0 0 0 0.09938010597249734 0.02136144097501776 0.060066295800028986 -0.0024491640222260662 0.06396507103083564 -0.02371847939621132 0.2212754910619348 -0.07659958663367697
10 100 0 0 0 0.1470648808769662 0.018347940591546572 -0.03140014233952056 0.02012910526058903 0.07923948445499605 -0.05481547055645757 0.07412897448792176 -0.17654678565326895
11 110 0 0 0 0.0907941497987137 0.04738191253552913 0.08925888258336645 0.07761217913048904 0.03785012472140096 -0.05935188939545633 0.048854308044005666 -0.1683520212337885
12 120 0 0 0 0.21078398627048558 0.10156701978620869 0.07323429017256675 0.07050664771528184 0.06614591402205791 -0.018541650793971794 0.13595792992086816 0.0312386339850393
13 130 0 0 0 0.242143148523176 0.08319587971774417 0.000871564261547845 0.09873324646988055 0.07188070391118187 0.0064443485940167845 0.08948485233054836 0.0337330655138576
14 140 0 0 0 0.22002888342936958 0.05632056948380527 -0.06276699338996938 -0.012662873386851752 -0.012336200476071185 -0.059002197524151846 0.1125229311800535 0.03470350784084512
15 150 0 0 0 0.18935363635604918 0.015576490077603106 0.011190478130054825 -0.008222769007342923 -0.011064945636768193 -0.017411730675245773 0.2030868393877972 0.17538776120381303
